"Story","Title","Result","Date","Stability","Duration (s)"
"Job Search","Success search job by title","SUCCESS","2022-03-23T09:04:34.310718+07:00[Asia/Jakarta]","0.0","0.06"
"Job Search","Success search job by city","SUCCESS","2022-03-23T09:04:34.3967253+07:00[Asia/Jakarta]","0.0","0.05"
"Job Search","Success search job by city and title","SUCCESS","2022-03-23T09:04:34.4787318+07:00[Asia/Jakarta]","0.0","0.1"
"Job Search","Success search job by history","SUCCESS","2022-03-23T09:04:34.6127418+07:00[Asia/Jakarta]","0.0","0.03"
